sheet_name,raw_sugar_color,raw_syrup_brix,raw_syrup_color,lime_alkalinity,co2_percent,carbonated_alkalinity,carbonated_pH,filtercake_moisture,filtercake_sugar,sweetwater_brix,sulphited_pH,sulphited_brix,sulphited_color,standard_liquor_pH,standard_liquor_brix,standard_liquor_color,white_moisture,white_invert,white_solution_color,white_apparent_color,white_ash,white_total_points
6.01,1503,62.44,2230,8.03,6.31,0,7.07,,,,,,,,,,0,0,0,0,0,0
6.02,1553,65,2780,9.16,6.51,0.02,7.62,27.81,0.19,59.58,7.23,59.58,311,9.04,54.24,754,16.13,16.13,16.13,16.13,16.13,16.13
6.03,1301,62.2,2331,8.75,6.76,0,7.14,28.02,0,10.48,6.58,60.45,352,6.55,59.73,355,11.03,11.03,11.03,11.03,11.03,11.03
6.04,1094,63.3,1966,7.78,10.21,0,7.49,27.82,0,13.85,6.88,56.88,239,6.97,54.92,232,12.03,12.03,12.03,12.03,12.03,12.03
6.05,1347,62.65,2732,8.16,6.71,0,7.42,28.82,0,22.18,7.21,57.4,342,7.2,54.1,333,11.58,11.58,11.58,11.58,11.58,11.58
6.06,1564,64.88,2242,8.18,6.93,0,7.71,28.82,0,20.07,7.12,57.23,396,6.96,58.82,431,13.84,13.84,13.84,13.84,13.84,13.84
6.07,889,58.86,1874,9.26,8.02,0,7.71,27.62,0.19,20.07,6.79,57.4,236,6.59,57.26,260,15.41,15.41,15.41,15.41,15.41,15.41
6.08,919,63.13,1958,8.28,7.61,0,7.3,28.11,0.09,24.45,7.18,60.26,222,6.74,59.18,341,11.74,11.74,11.74,11.74,11.74,11.74
6.09,858,62.92,1969,8,6.35,0,7.36,27.42,0.08,24.25,7.36,60.9,351,7.25,60,323,11.05,11.05,11.05,11.05,11.05,11.05
9.1,1520,64.86,1988,8.22,9.36,0,8.76,28.01,0.27,21.93,7.07,59.22,425,7.21,59.7,426,12.66,12.66,12.66,12.66,12.66,12.66
6.11,1849,61.58,2736,8.97,9.62,0,7.59,28.09,0.17,24.13,6.96,60.02,343,7.34,62.27,506,13.15,13.15,13.15,13.15,13.15,13.15
6.12,1291,64.5,2318,8.13,7.93,0,7.28,27.85,0,27.12,7.13,61.98,394,7.31,60.93,465,14.55,14.55,14.55,14.55,14.55,14.55
6.13,978,64.58,1870,8.16,13.47,0,7.12,28.05,0,24.84,6.88,61,388,7.23,63.24,581,14.8,14.8,14.8,14.8,14.8,14.8
