HTC,flow_rate1,conc_nano1,Kfluid1,heat_flux1,X_D1,flow_rate2,conc_nano2,Kfluid2,heat_flux2,X_D2
2280,1,50,2.5,2,4,24,120,0,30,150
2726.3,1,50,2.5,2,4,24,120,0,30,150
3866.7,1,50,2.5,5,4,24,120,0,30,150
14279,1,50,2.5,7,4,24,120,0,30,150
21614,1,50,2.5,7,4,24,120,0,30,150
7358.6,1,50,2.5,7,4,48,120,0,30,150
9453.2,1,50,2.5,7,4,48,120,0,30,150
4536.8,1,50,2.5,7,4,48,60,0,30,150
6534.8,1,50,2.5,7,4,48,60,0,30,150
5525.3,1,50,2.5,7,4,48,30,0,30,150
6201.5,1,50,2.5,7,4,48,30,0,30,150
6000.5,1,50,2.5,7,2.8,48,30,0,30,150
7142,1,50,2.5,7,2.8,48,30,0,30,150
4406,1,50,2.5,7,2.8,48,120,0,30,150
4684.4,1,50,2.5,7,2.8,48,120,0,30,150
5360.5,1,50,2.5,7,2.8,48,60,0,30,150
22419.3,1,50,2.5,7,2.8,48,60,0,30,150
6530.1,1,50,2.5,7,2.8,24,30,0,30,150
3829.6,1,50,2.5,7,2.8,24,30,0,30,150
6233.6,1,50,2.5,7,2.8,24,60,0,30,150
10261,1,50,2.5,7,2.8,24,60,0,30,150
25025,1,50,2.5,7,2.8,24,120,0,30,150
24889.5,1,50,2.5,7,2.8,24,120,0,30,150
51521,1,50,2.5,7,2.8,24,120,500,30,150
53891,1,50,2.5,7,2.8,24,120,500,30,150
32769,1,50,2.5,7,2.8,24,120,1000,30,180
22351,1,50,2.5,7,2.8,24,120,1000,30,180
5190.6,1,50,2.5,7,2.8,24,120,1000,30,120
1827.6,1,50,2.5,7,2.8,24,120,1000,30,120
19688.6,1,50,2.5,7,2.8,24,120,1000,45,150
21493.5,1,50,2.5,7,2.8,24,120,1000,45,150
22951.6,1,50,2.5,7,2.8,24,120,1000,45,150
10988.2,1,50,2.5,7,2.8,24,120,1000,15,150
3147.9,1,50,2.5,7,2.8,24,120,1000,15,150
