raw_sugar_color,raw_syrup_brix,lime_alkalinity,co2_percent,sweetwater_brix,standard_liquor_brix
976,61.73,8.63,10.99,24.38,61.17
918,61.02,8.21,10.98,19.62,57.43
2346,62.28,9.48,11.22,21.63,60.68
2019,59.25,9.93,10.9,14.45,59.06
2447,62.0,10.02,10.71,15.64,56.82
1166,63.48,7.3,11.08,21.73,61.3
1146,62.48,8.1,10.92,29.97,62.23
1174,62.22,8.93,11.08,24.01,63.1
1520,64.86,8.22,9.36,21.93,59.7
940,62.55,9.0,10.64,28.29,61.72
2378,58.17,10.3,10.92,20.96,62.03
1508,64.3,7.83,13.75,22.72,61.57
2385,64.6,9.67,10.75,25.34,62.5
2169,61.43,8.58,10.64,25.69,60.75
1171,62.72,7.38,10.65,36.34,62.23
2191,60.13,8.67,10.71,35.05,57.5
1108,64.88,8.95,13.52,28.88,60.56
2180,62.2,9.87,11.26,25.79,57.68
1553,65.0,9.16,6.51,59.58,54.24
2144,63.98,10.0,10.83,23.84,59.78
2222,65.47,9.48,10.86,19.49,60.22
991,64.2,7.54,13.75,33.58,59.98
2247,65.0,8.59,10.49,20.71,61.32
973,64.72,7.82,13.78,26.41,59.1
1179,62.52,8.23,10.84,48.13,60.78
889,58.86,9.26,8.02,20.07,57.26
1426,65.25,7.2,11.24,48.15,59.77
1186,63.8,7.7,11.03,21.97,62.46
2333,61.62,10.08,10.71,12.89,57.87
1133,64.3,6.87,10.33,23.52,62.05
1010,65.04,7.15,13.27,29.74,61.58
2197,62.32,10.03,10.78,29.73,476.0
925,63.7,7.72,13.4,21.71,61.38
1079,65.38,10.02,11.67,34.08,61.88
999,62.96,8.27,14.25,29.91,61.73
1849,61.58,8.97,9.62,24.13,62.27
2231,63.69,9.47,10.92,26.71,60.52
1291,64.5,8.13,7.93,27.12,60.93
1503,62.44,8.03,6.31,,
1564,64.88,8.18,6.93,20.07,58.82
1352,64.5,7.63,10.94,24.61,63.43
1094,63.3,7.78,10.21,13.85,54.92
1128,62.62,8.03,10.94,30.17,60.42
978,64.58,8.16,13.47,24.84,63.24
1059,62.5,8.31,11.01,21.34,60.41
1535,65.17,7.38,11.21,27.84,59.1
1773,62.6,7.92,10.74,28.27,61.87
1184,61.48,8.3,11.01,33.68,61.62
919,63.13,8.28,7.61,24.45,59.18
1155,62.43,8.15,10.33,34.58,63.1
2592,60.78,8.56,11.01,20.46,60.43
1999,60.65,8.95,9.97,22.49,59.5
2257,62.12,8.33,11.3,26.51,60.73
1372,61.46,8.62,10.34,33.76,59.35
1301,62.2,8.75,6.76,10.48,59.73
2181,63.38,9.73,10.68,10.86,56.7
2363,62.7,10.68,10.89,32.88,59.62
1191,63.42,7.89,10.72,39.12,61.73
2488,62.55,9.31,10.97,27.45,58.68
915,64.66,8.92,11.14,40.12,60.79
2094,63.03,9.97,10.9,21.62,56.78
887,62.08,8.63,11.04,35.1,61.07
1149,63.75,7.8,11.15,20.7,61.95
924,65.0,7.3,11.03,23.52,61.47
2109,61.9,9.97,10.58,32.29,61.17
1084,64.9,7.13,11.2,30.64,62.1
2102,61.63,9.73,11.05,14.71,58.17
2408,58.42,7.68,10.82,24.57,61.34
1235,63.52,7.4,14.01,22.36,62.28
2248,62.1,10.55,11.01,17.45,59.52
