white_solution_color,white_total_points
15.35,15.35
15.02,15.02
16.4,16.4
21.21,21.21
15.34,15.34
15.61,15.61
14.7,14.7
14.76,14.76
12.66,12.66
12.25,12.25
23.52,23.52
11.81,11.81
15.3,15.3
16.46,16.46
14.3,14.3
18.92,18.92
13.86,13.86
18.57,18.57
16.13,16.13
17.19,17.19
17.74,17.74
13.89,13.89
15.68,15.68
13.49,13.49
14.3,14.3
15.41,15.41
15.28,15.28
17.88,17.88
16.69,16.69
14.81,14.81
13.5,13.5
17.63,17.63
13.8,13.8
13.22,13.22
16.34,16.34
13.15,13.15
23.59,23.59
14.55,14.55
0.0,0.0
13.84,13.84
17.23,17.23
12.03,12.03
12.14,12.14
14.8,14.8
12.87,12.87
16.2,16.2
15.91,15.91
13.11,13.11
11.74,11.74
13.9,13.9
22.52,22.52
15.07,15.07
16.13,16.13
16.44,16.44
11.03,11.03
17.91,17.91
17.21,17.21
13.89,13.89
16.94,16.94
14.53,14.53
17.46,17.46
16.39,16.39
14.34,14.34
13.26,13.26
17.29,17.29
15.85,15.85
18.35,18.35
14.85,14.85
12.24,12.24
13.1,13.1
