white_solution_color_actual,white_solution_color_predictions,white_apparent_color_actual,white_apparent_color_predictions,white_total_points_actual,white_total_points_predictions
11.58,15.33,11.58,15.45,11.58,15.24
13.16,16.07,13.16,16.9,13.16,16.32
18.52,17.91,18.52,18.65,18.52,18.47
16.98,15.57,16.98,15.53,16.98,15.33
17.44,15.33,17.44,15.28,17.44,15.18
15.48,16.19,15.48,16.61,15.48,16.48
15.49,16.38,15.49,17.16,15.49,16.82
16.05,15.48,16.05,15.61,16.05,15.5
17.86,16.34,17.86,17.12,17.86,16.83
15.93,14.34,15.93,14.01,15.93,14.49
20.15,18.04,20.15,18.81,20.15,18.49
11.05,14.1,11.05,13.55,11.05,14.16
15.25,15.15,15.25,15.3,15.25,15.46
15.44,15.53,15.44,16.21,15.44,15.64
16.21,15.62,16.21,15.93,16.21,15.7
13.16,15.66,13.16,17.59,13.16,16.15
18.14,17.52,18.14,18.38,18.14,17.66
18.9,18.94,18.9,19.69,18.9,19.52
